question,intent,clean_question,label
Show overall discount percentage,discount_analysis,show overall discount percentage,10
How much is the month wise profit?,monthly_profit,how much is the month wise profit,14
Analyze performance of bottom 10 products.,bottom_products,analyze performance of bottom 10 products,5
Generate the most valuable customers.,top_customers,generate the most valuable customers,26
Compare sales by category,sales_by_category,compare sales by category,20
Provide highest profit product,highest_profit_product,provide highest profit product,11
Can you provide order count?,order_count,can you provide order count,16
Display total profit,total_profit,display total profit,28
Please display sales by month.,monthly_sales,please display sales by month,15
Please create inventory report.,inventory_summary,please create inventory report,12
Can you find the number of customers?,customer_count,can you find the number of customers,8
Show latest average turnover.,average_sales,show latest average turnover,1
Analyze the overall sales.,total_sales,analyze the overall sales,29
Could you display the company profit?,total_profit,could you display the company profit,28
Kindly give the sales by subcategory.,sales_by_subcategory,kindly give the sales by subcategory,22
Can you provide inventory overview?,inventory_summary,can you provide inventory overview,12
Can you compare the segment sales?,sales_by_segment,can you compare the segment sales,21
Reveal region wise profit,region_profit,reveal region wise profit,19
View registered customers.,customer_count,view registered customers,8
Show me the most valuable customers.,top_customers,show me the most valuable customers,26
I'd like to know the sales for each category.,sales_by_category,id like to know the sales for each category,20
Please calculate category wise sales.,sales_by_category,please calculate category wise sales,20
Present the bottom customers.,bottom_customers,present the bottom customers,4
Give detailed least valuable customers.,bottom_customers,give detailed least valuable customers,4
Give all overall earnings,total_profit,give all overall earnings,28
Provide mean sales.,average_sales,provide mean sales,1
Show all number of orders,order_count,show all number of orders,16
Show me the average profit.,average_profit,show me the average profit,0
Reveal complete highest profit product,highest_profit_product,reveal complete highest profit product,11
Create dashboard for inventory summary.,inventory_summary,create dashboard for inventory summary,12
Reveal all net profit,total_profit,reveal all net profit,28
Present stock overview.,inventory_summary,present stock overview,12
Kindly provide the top selling states.,top_states,kindly provide the top selling states,27
Can you give the average net profit?,average_profit,can you give the average net profit,0
Please identify best region.,best_region,please identify best region,2
Display complete quantity analysis.,quantity_analysis,display complete quantity analysis,18
Summarize the category performance.,sales_by_category,summarize the category performance,20
View quantity sold.,quantity_analysis,view quantity sold,18
Calculate the total profit,total_profit,calculate the total profit,28
Provide overall worst region,worst_region,provide overall worst region,30
Can you reveal mean sales?,average_sales,can you reveal mean sales,1
I want the growth in profit.,profit_growth,i want the growth in profit,17
Could you show the delivery performance?,shipping_analysis,could you show the delivery performance,24
Display all subcategory wise sales,sales_by_subcategory,display all subcategory wise sales,22
Inspect worst region.,worst_region,inspect worst region,30
Provide top profit product,highest_profit_product,provide top profit product,11
Find all business growth,sales_growth,find all business growth,23
Tell me sales by category.,sales_by_category,tell me sales by category,20
Display complete inventory report,inventory_summary,display complete inventory report,12
Please show shipping performance.,shipping_analysis,please show shipping performance,24
Could you list the bottom products?,bottom_products,could you list the bottom products,5
Summarize the top region.,best_region,summarize the top region,2
Could you analyze the total quantity?,quantity_analysis,could you analyze the total quantity,18
I'd like to know the highest spending customers.,top_customers,id like to know the highest spending customers,26
Provide all average net profit,average_profit,provide all average net profit,0
Display complete lowest performing region,worst_region,display complete lowest performing region,30
Can you reveal the inactive customers?,bottom_customers,can you reveal the inactive customers,4
Show all subcategory sales,sales_by_subcategory,show all subcategory sales,22
Show me the average income.,average_profit,show me the average income,0
Kindly give the segment performance.,sales_by_segment,kindly give the segment performance,21
Could you show the monthly business profit?,monthly_profit,could you show the monthly business profit,14
Analyze performance of business overview.,dashboard_summary,analyze performance of business overview,9
Give complete overall discount.,discount_analysis,give complete overall discount,10
Please provide least profitable states.,bottom_states,please provide least profitable states,6
Display complete segment wise sales.,sales_by_segment,display complete segment wise sales,21
Find complete business growth,sales_growth,find complete business growth,23
Can you find best cities?,top_cities,can you find best cities,25
Give detailed delivery performance.,shipping_analysis,give detailed delivery performance,24
Show insights for registered customers.,customer_count,show insights for registered customers,8
Show me annual sales.,yearly_sales,show me annual sales,32
Summarize business sales.,total_sales,summarize business sales,29
Calculate all monthly sales,monthly_sales,calculate all monthly sales,15
Fetch total sales.,total_sales,fetch total sales,29
Find the discount analysis.,discount_analysis,find the discount analysis,10
Analyze regional profit,region_profit,analyze regional profit,19
Provide top selling cities,top_cities,provide top selling cities,25
Analyze category sales.,sales_by_category,analyze category sales,20
Generate the shipping performance.,shipping_analysis,generate the shipping performance,24
Display all yearly sales,yearly_sales,display all yearly sales,32
Please calculate average sales.,average_sales,please calculate average sales,1
Review premium customers.,top_customers,review premium customers,26
I need annual earnings.,yearly_profit,i need annual earnings,31
Find complete business profit,total_profit,find complete business profit,28
Compare yearly profit.,yearly_profit,compare yearly profit,31
Show grand total sales,total_sales,show grand total sales,29
List overall least valuable customers,bottom_customers,list overall least valuable customers,4
Identify overall most profitable region,best_region,identify overall most profitable region,2
Explain lowest spending customers.,bottom_customers,explain lowest spending customers,4
Find profit by category.,category_profit,find profit by category,7
Fetch sales by month.,monthly_sales,fetch sales by month,15
Can you analyze the profit by region?,region_profit,can you analyze the profit by region,19
I want the profit by category.,category_profit,i want the profit by category,7
Please provide total quantity.,quantity_analysis,please provide total quantity,18
Calculate complete sales average,average_sales,calculate complete sales average,1
Please display the sales by month.,monthly_sales,please display the sales by month,15
Show me delivery performance.,shipping_analysis,show me delivery performance,24
Display the average sales,average_sales,display the average sales,1
Show complete highest profit product.,highest_profit_product,show complete highest profit product,11
View bottom states.,bottom_states,view bottom states,6
Inspect average sales amount.,average_sales,inspect average sales amount,1
Please analyze business growth.,sales_growth,please analyze business growth,23
Could you give the sales across subcategories?,sales_by_subcategory,could you give the sales across subcategories,22
Kindly show the year wise profit.,yearly_profit,kindly show the year wise profit,31
Give complete sales across categories.,sales_by_category,give complete sales across categories,20
Provide all average sales,average_sales,provide all average sales,1
Show me segment wise sales.,sales_by_segment,show me segment wise sales,21
Please calculate overall revenue.,total_sales,please calculate overall revenue,29
Tell me overall average revenue,average_sales,tell me overall average revenue,1
Show me the overall revenue.,total_sales,show me the overall revenue,29
Provide all sales quantity,quantity_analysis,provide all sales quantity,18
I'd like to know the sales by subcategory.,sales_by_subcategory,id like to know the sales by subcategory,22
Show complete lowest performing region,worst_region,show complete lowest performing region,30
Summarize bottom 10 products.,bottom_products,summarize bottom 10 products,5
Reveal overall inactive customers,bottom_customers,reveal overall inactive customers,4
Tell me all grand total sales,total_sales,tell me all grand total sales,29
Can you display least profitable states?,bottom_states,can you display least profitable states,6
Provide complete overall earnings,total_profit,provide complete overall earnings,28
Summarize the total customers.,customer_count,summarize the total customers,8
Kindly calculate the annual sales.,yearly_sales,kindly calculate the annual sales,32
Could you show the grand total profit?,total_profit,could you show the grand total profit,28
Can you give mean profit?,average_profit,can you give mean profit,0
Compare all segment sales,sales_by_segment,compare all segment sales,21
Can you find profit average?,average_profit,can you find profit average,0
What is total orders?,order_count,what is total orders,16
Can I see the sales average?,average_sales,can i see the sales average,1
Provide the total revenue,total_sales,provide the total revenue,29
Could you provide the dashboard summary?,dashboard_summary,could you provide the dashboard summary,9
Generate highest sales cities.,top_cities,generate highest sales cities,25
Could you provide the sales by year?,yearly_sales,could you provide the sales by year,32
Provide top selling cities.,top_cities,provide top selling cities,25
Display the premium customers,top_customers,display the premium customers,26
Visualize worst performing states.,bottom_states,visualize worst performing states,6
What is the discount offered?,discount_analysis,what is the discount offered,10
I would like business sales.,total_sales,i would like business sales,29
Show me the bottom cities.,bottom_cities,show me the bottom cities,3
Find the month wise sales.,monthly_sales,find the month wise sales,15
Can you generate business overview?,dashboard_summary,can you generate business overview,9
Display highest profit product,highest_profit_product,display highest profit product,11
Could you provide the shipping mode?,shipping_analysis,could you provide the shipping mode,24
Compare all sales across categories,sales_by_category,compare all sales across categories,20
Generate overall stock summary,inventory_summary,generate overall stock summary,12
Generate a report for business growth.,sales_growth,generate a report for business growth,23
Can you provide city performance?,bottom_cities,can you provide city performance,3
Calculate the total earnings,total_profit,calculate the total earnings,28
Give detailed bottom products.,bottom_products,give detailed bottom products,5
What is least valuable customers?,bottom_customers,what is least valuable customers,4
Create a report for bottom states.,bottom_states,create a report for bottom states,6
I want total profit.,total_profit,i want total profit,28
Tell me ship mode analysis.,shipping_analysis,tell me ship mode analysis,24
Create dashboard for annual profit.,yearly_profit,create dashboard for annual profit,31
Give me discount analysis.,discount_analysis,give me discount analysis,10
Analyze the number of customers.,customer_count,analyze the number of customers,8
I need the least profitable cities.,bottom_cities,i need the least profitable cities,3
Analyze average sales.,average_sales,analyze average sales,1
I want subcategory sales.,sales_by_subcategory,i want subcategory sales,22
I'd like to know the overall discount.,discount_analysis,id like to know the overall discount,10
Display complete least profitable cities.,bottom_cities,display complete least profitable cities,3
Provide ship mode analysis,shipping_analysis,provide ship mode analysis,24
Present the highest sales states.,top_states,present the highest sales states,27
What is least popular products?,bottom_products,what is least popular products,5
Kindly reveal the average sales amount.,average_sales,kindly reveal the average sales amount,1
Provide overall customers,customer_count,provide overall customers,8
Kindly list the top selling states.,top_states,kindly list the top selling states,27
Summarize the city performance.,top_cities,summarize the city performance,25
I need the average income.,average_profit,i need the average income,0
Kindly provide the order count.,order_count,kindly provide the order count,16
Analyze the year wise profit.,yearly_profit,analyze the year wise profit,31
Review monthly business sales.,monthly_sales,review monthly business sales,15
Provide detailed least profitable region.,worst_region,provide detailed least profitable region,30
Identify worst profit product,lowest_profit_product,identify worst profit product,13
Please list bottom states.,bottom_states,please list bottom states,6
Show all sales across categories,sales_by_category,show all sales across categories,20
Can I see the discount percentage?,discount_analysis,can i see the discount percentage,10
Display complete best region,best_region,display complete best region,2
Provide the grand total sales,total_sales,provide the grand total sales,29
Reveal the customer segment sales.,sales_by_segment,reveal the customer segment sales,21
Can you list top customers?,top_customers,can you list top customers,26
Please find discount offered.,discount_analysis,please find discount offered,10
Generate a report for discount offered.,discount_analysis,generate a report for discount offered,10
Provide overall overall earnings,total_profit,provide overall overall earnings,28
Plot lowest profit product.,lowest_profit_product,plot lowest profit product,13
Provide all ship mode analysis,shipping_analysis,provide all ship mode analysis,24
Can you find the least profitable product?,lowest_profit_product,can you find the least profitable product,13
Can I see the average earnings?,average_profit,can i see the average earnings,0
Please tell me sales average.,average_sales,please tell me sales average,1
Can you show the total quantity?,quantity_analysis,can you show the total quantity,18
Could you tell me the mean sales?,average_sales,could you tell me the mean sales,1
Can you display the overall earnings?,total_profit,can you display the overall earnings,28
Kindly display the shipping analysis.,shipping_analysis,kindly display the shipping analysis,24
Could you analyze the yearly profit?,yearly_profit,could you analyze the yearly profit,31
Display stock summary.,inventory_summary,display stock summary,12
What is the registered customers?,customer_count,what is the registered customers,8
Explain the shipping performance.,shipping_analysis,explain the shipping performance,24
Summarize average revenue.,average_sales,summarize average revenue,1
List the best customers,top_customers,list the best customers,26
Show discount analysis,discount_analysis,show discount analysis,10
View monthly business profit.,monthly_profit,view monthly business profit,14
Please identify least profitable region.,worst_region,please identify least profitable region,30
Display the worst sales region,worst_region,display the worst sales region,30
Display overall discount.,discount_analysis,display overall discount,10
Kindly find the premium customers.,top_customers,kindly find the premium customers,26
Can I see the least profitable product?,lowest_profit_product,can i see the least profitable product,13
Display latest mean profit.,average_profit,display latest mean profit,0
I want the customer count.,customer_count,i want the customer count,8
Find top profit product.,highest_profit_product,find top profit product,11
Can you tell me total profit?,total_profit,can you tell me total profit,28
Please reveal top cities.,top_cities,please reveal top cities,25
What is the city performance?,bottom_cities,what is the city performance,3
Fetch the annual profit.,yearly_profit,fetch the annual profit,31
Can you display region profit performance?,region_profit,can you display region profit performance,19
Display overall monthly sales,monthly_sales,display overall monthly sales,15
Give total sales,total_sales,give total sales,29
Reveal overall profit.,total_profit,reveal overall profit,28
Can you find the shipping performance?,shipping_analysis,can you find the shipping performance,24
Provide overall least profitable cities,bottom_cities,provide overall least profitable cities,3
Find subcategory sales,sales_by_subcategory,find subcategory sales,22
Could you find the top region?,best_region,could you find the top region,2
Generate a report for overall sales.,total_sales,generate a report for overall sales,29
Analyze complete category performance,sales_by_category,analyze complete category performance,20
Kindly calculate the product quantities.,quantity_analysis,kindly calculate the product quantities,18
Reveal all average income,average_profit,reveal all average income,0
How much is average business sales?,average_sales,how much is average business sales,1
Give me the annual sales.,yearly_sales,give me the annual sales,32
Can you show lowest selling products?,bottom_products,can you show lowest selling products,5
Please reveal monthly revenue.,monthly_sales,please reveal monthly revenue,15
Show complete sales by category.,sales_by_category,show complete sales by category,20
Show complete most valuable customers,top_customers,show complete most valuable customers,26
Show me the highest sales cities.,top_cities,show me the highest sales cities,25
Explain the average earnings.,average_profit,explain the average earnings,0
Plot worst sales region.,worst_region,plot worst sales region,30
What is the profit across categories?,category_profit,what is the profit across categories,7
Give the business sales,total_sales,give the business sales,29
Give me the overall earnings.,total_profit,give me the overall earnings,28
Show all growth in sales,sales_growth,show all growth in sales,23
Compare top 10 customers.,top_customers,compare top 10 customers,26
Generate the total sales.,total_sales,generate the total sales,29
Can you calculate the total sales?,total_sales,can you calculate the total sales,29
Explain the sales by year.,yearly_sales,explain the sales by year,32
Generate earnings growth.,profit_growth,generate earnings growth,17
Display worst sales region,worst_region,display worst sales region,30
Give me top 10 customers.,top_customers,give me top 10 customers,26
Could you find the lowest sales region?,worst_region,could you find the lowest sales region,30
Kindly display the premium customers.,top_customers,kindly display the premium customers,26
Give the overall revenue,total_sales,give the overall revenue,29
Provide business summary,dashboard_summary,provide business summary,9
List all best customers,top_customers,list all best customers,26
Analyze complete category profit performance,category_profit,analyze complete category profit performance,7
Can you compare sales by subcategory?,sales_by_subcategory,can you compare sales by subcategory,22
Review monthly profit.,monthly_profit,review monthly profit,14
Display complete least profitable region,worst_region,display complete least profitable region,30
Could you compare the sales for each category?,sales_by_category,could you compare the sales for each category,20
Display latest lowest performing region.,worst_region,display latest lowest performing region,30
Can you display the sales by year?,yearly_sales,can you display the sales by year,32
Can I see least selling products?,bottom_products,can i see least selling products,5
Could you reveal the category performance?,sales_by_category,could you reveal the category performance,20
Inspect sales growth.,sales_growth,inspect sales growth,23
Explain the total quantity.,quantity_analysis,explain the total quantity,18
Kindly analyze the category sales.,sales_by_category,kindly analyze the category sales,20
Can you list lowest spending customers?,bottom_customers,can you list lowest spending customers,4
Review business profit.,total_profit,review business profit,28
Give complete inventory overview.,inventory_summary,give complete inventory overview,12
Show city performance,top_cities,show city performance,25
Show me discount analysis.,discount_analysis,show me discount analysis,10
Can I see sales quantity?,quantity_analysis,can i see sales quantity,18
Calculate overall company profit,total_profit,calculate overall company profit,28
Provide product quantities.,quantity_analysis,provide product quantities,18
Calculate all annual revenue,yearly_sales,calculate all annual revenue,32
I'd like to know the month wise profit.,monthly_profit,id like to know the month wise profit,14
Can I see the growth in sales?,sales_growth,can i see the growth in sales,23
Generate the monthly business profit.,monthly_profit,generate the monthly business profit,14
Show overall annual revenue,yearly_sales,show overall annual revenue,32
Provide category wise sales.,sales_by_category,provide category wise sales,20
View best sales region.,best_region,view best sales region,2
Could you display the grand total sales?,total_sales,could you display the grand total sales,29
Find the monthly sales.,monthly_sales,find the monthly sales,15
Compare all customer segment sales,sales_by_segment,compare all customer segment sales,21
Plot sales by category.,sales_by_category,plot sales by category,20
Reveal all customer segment sales,sales_by_segment,reveal all customer segment sales,21
Display the inactive customers.,bottom_customers,display the inactive customers,4
Plot sales across categories.,sales_by_category,plot sales across categories,20
Kindly display the profit by region.,region_profit,kindly display the profit by region,19
Analyze profit by region.,region_profit,analyze profit by region,19
Can you reveal the region profit performance?,region_profit,can you reveal the region profit performance,19
Could you show the average discount?,discount_analysis,could you show the average discount,10
How much is average discount?,discount_analysis,how much is average discount,10
How much is the top region?,best_region,how much is the top region,2
Find overall overall earnings,total_profit,find overall overall earnings,28
Find the profit growth.,profit_growth,find the profit growth,17
Can you identify top 10 customers?,top_customers,can you identify top 10 customers,26
Visualize average discount.,discount_analysis,visualize average discount,10
I'd like to know the top region.,best_region,id like to know the top region,2
Display overall category wise sales,sales_by_category,display overall category wise sales,20
Display complete profit across regions,region_profit,display complete profit across regions,19
Could you provide the delivery performance?,shipping_analysis,could you provide the delivery performance,24
Generate the worst region.,worst_region,generate the worst region,30
View average turnover.,average_sales,view average turnover,1
Could you find the total customer orders?,order_count,could you find the total customer orders,16
Kindly analyze the monthly business profit.,monthly_profit,kindly analyze the monthly business profit,14
Give detailed registered customers.,customer_count,give detailed registered customers,8
Show complete top selling cities,top_cities,show complete top selling cities,25
Can you analyze discount percentage?,discount_analysis,can you analyze discount percentage,10
Analyze annual revenue.,yearly_sales,analyze annual revenue,32
Please calculate year wise sales.,yearly_sales,please calculate year wise sales,32
View business profit.,total_profit,view business profit,28
Can you display the sales growth?,sales_growth,can you display the sales growth,23
Display complete discount analysis,discount_analysis,display complete discount analysis,10
Tell me mean sales,average_sales,tell me mean sales,1
Generate sales trend.,sales_growth,generate sales trend,23
Reveal complete monthly profit,monthly_profit,reveal complete monthly profit,14
Kindly display the segment sales.,sales_by_segment,kindly display the segment sales,21
Provide the average net profit.,average_profit,provide the average net profit,0
I want region wise profit.,region_profit,i want region wise profit,19
Give overall subcategory sales,sales_by_subcategory,give overall subcategory sales,22
Identify complete top customers,top_customers,identify complete top customers,26
Can you analyze yearly sales?,yearly_sales,can you analyze yearly sales,32
Could you reveal the category wise profit?,category_profit,could you reveal the category wise profit,7
Show all profit by category,category_profit,show all profit by category,7
Can I see the highest performing region?,best_region,can i see the highest performing region,2
Show all average discount,discount_analysis,show all average discount,10
Give all number of orders,order_count,give all number of orders,16
View overall overall earnings,total_profit,view overall overall earnings,28
Provide highest profit product.,highest_profit_product,provide highest profit product,11
What is the segment performance?,sales_by_segment,what is the segment performance,21
Can you reveal subcategory wise sales?,sales_by_subcategory,can you reveal subcategory wise sales,22
Kindly show the total profit.,total_profit,kindly show the total profit,28
Please calculate the best customers.,top_customers,please calculate the best customers,26
Reveal the average net profit.,average_profit,reveal the average net profit,0
Give all average income,average_profit,give all average income,0
Generate the category wise profit.,category_profit,generate the category wise profit,7
Display latest worst performing states.,bottom_states,display latest worst performing states,6
Can you reveal highest spending customers?,top_customers,can you reveal highest spending customers,26
Could you calculate the total earnings?,total_profit,could you calculate the total earnings,28
Kindly compare the segment wise sales.,sales_by_segment,kindly compare the segment wise sales,21
Display the least profitable product,lowest_profit_product,display the least profitable product,13
I want the inventory report.,inventory_summary,i want the inventory report,12
Can you give average income?,average_profit,can you give average income,0
Find the net profit.,total_profit,find the net profit,28
Identify complete least profitable region,worst_region,identify complete least profitable region,30
Kindly provide the top selling cities.,top_cities,kindly provide the top selling cities,25
I would like worst products.,bottom_products,i would like worst products,5
I'd like to know the overall customers.,customer_count,id like to know the overall customers,8
Can you analyze discount analysis?,discount_analysis,can you analyze discount analysis,10
I need the sales by year.,yearly_sales,i need the sales by year,32
Kindly calculate the average discount.,discount_analysis,kindly calculate the average discount,10
I want the bottom states.,bottom_states,i want the bottom states,6
Give me the growth in sales.,sales_growth,give me the growth in sales,23
Generate a report for inactive customers.,bottom_customers,generate a report for inactive customers,4
Can you create the overall dashboard?,dashboard_summary,can you create the overall dashboard,9
Kindly show the average profit.,average_profit,kindly show the average profit,0
Compare month wise profit.,monthly_profit,compare month wise profit,14
Give me average business profit.,average_profit,give me average business profit,0
Please display lowest sales states.,bottom_states,please display lowest sales states,6
Can you show the segment wise sales?,sales_by_segment,can you show the segment wise sales,21
Provide all mean sales,average_sales,provide all mean sales,1
Give complete subcategory performance.,sales_by_subcategory,give complete subcategory performance,22
Kindly give the total profit.,total_profit,kindly give the total profit,28
I'd like the top customers.,top_customers,id like the top customers,26
Analyze the profit by month,monthly_profit,analyze the profit by month,14
Explain the category profit performance.,category_profit,explain the category profit performance,7
Provide detailed lowest performing region.,worst_region,provide detailed lowest performing region,30
Can you show the highest profit product?,highest_profit_product,can you show the highest profit product,11
Kindly provide the top cities.,top_cities,kindly provide the top cities,25
Can you provide category profit performance?,category_profit,can you provide category profit performance,7
Find the top customers.,top_customers,find the top customers,26
Give the lowest selling products,bottom_products,give the lowest selling products,5
Reveal complete sales average,average_sales,reveal complete sales average,1
Calculate overall annual sales,yearly_sales,calculate overall annual sales,32
I need the average turnover.,average_sales,i need the average turnover,1
I need stock summary.,inventory_summary,i need stock summary,12
Can I see the bottom 10 customers?,bottom_customers,can i see the bottom 10 customers,4
Could you display the quantity sold?,quantity_analysis,could you display the quantity sold,18
I want the sales across categories.,sales_by_category,i want the sales across categories,20
Generate lowest spending customers.,bottom_customers,generate lowest spending customers,4
Show complete average business sales,average_sales,show complete average business sales,1
I'd like the overall discount.,discount_analysis,id like the overall discount,10
Show latest city performance.,bottom_cities,show latest city performance,3
Show complete lowest selling products.,bottom_products,show complete lowest selling products,5
Fetch segment wise sales.,sales_by_segment,fetch segment wise sales,21
Give complete sales by subcategory.,sales_by_subcategory,give complete sales by subcategory,22
Could you reveal the company profit?,total_profit,could you reveal the company profit,28
Show complete lowest earning product.,lowest_profit_product,show complete lowest earning product,13
Give me the bottom customers.,bottom_customers,give me the bottom customers,4
I need the most profitable region.,best_region,i need the most profitable region,2
Tell me lowest sales region.,worst_region,tell me lowest sales region,30
Find overall category profit,category_profit,find overall category profit,7
Display complete sales by category,sales_by_category,display complete sales by category,20
Show the most profitable product,highest_profit_product,show the most profitable product,11
Generate the lowest sales states.,bottom_states,generate the lowest sales states,6
Display latest average discount.,discount_analysis,display latest average discount,10
Tell me the profit by month.,monthly_profit,tell me the profit by month,14
I'd like to know category wise sales.,sales_by_category,id like to know category wise sales,20
Compare inventory summary.,inventory_summary,compare inventory summary,12
Analyze performance of average sales.,average_sales,analyze performance of average sales,1
Can you give the inventory report?,inventory_summary,can you give the inventory report,12
Find complete category performance,sales_by_category,find complete category performance,20
How much is the category profit?,category_profit,how much is the category profit,7
Visualize growth in sales.,sales_growth,visualize growth in sales,23
Please calculate the worst sales region.,worst_region,please calculate the worst sales region,30
Could you provide the best performing states?,top_states,could you provide the best performing states,27
Could you find the sales by category?,sales_by_category,could you find the sales by category,20
How much is the best performing states?,top_states,how much is the best performing states,27
Find subcategory sales.,sales_by_subcategory,find subcategory sales,22
Can you provide inactive customers?,bottom_customers,can you provide inactive customers,4
Show latest dashboard summary.,dashboard_summary,show latest dashboard summary,9
Analyze the discount percentage,discount_analysis,analyze the discount percentage,10
What is the number of customers?,customer_count,what is the number of customers,8
Display overall least profitable region,worst_region,display overall least profitable region,30
Can you reveal segment performance?,sales_by_segment,can you reveal segment performance,21
Can you display regional profit?,region_profit,can you display regional profit,19
Can you show the top selling states?,top_states,can you show the top selling states,27
Show all most profitable region,best_region,show all most profitable region,2
I would like dashboard summary.,dashboard_summary,i would like dashboard summary,9
Give me the sales by segment.,sales_by_segment,give me the sales by segment,21
Provide worst profit product,lowest_profit_product,provide worst profit product,13
Provide detailed top 10 customers.,top_customers,provide detailed top 10 customers,26
Provide complete profit by year,yearly_profit,provide complete profit by year,31
Generate a report for profit growth.,profit_growth,generate a report for profit growth,17
Could you find the average sales?,average_sales,could you find the average sales,1
I'd like the total revenue.,total_sales,id like the total revenue,29
I want the category wise sales.,sales_by_category,i want the category wise sales,20
Reveal the profit by category,category_profit,reveal the profit by category,7
Reveal the sales by subcategory.,sales_by_subcategory,reveal the sales by subcategory,22
Show me total customer orders.,order_count,show me total customer orders,16
Can you show profit by category?,category_profit,can you show profit by category,7
Kindly display the highest performing region.,best_region,kindly display the highest performing region,2
Kindly reveal the sales by segment.,sales_by_segment,kindly reveal the sales by segment,21
Please display inactive customers.,bottom_customers,please display inactive customers,4
Kindly identify the best profit item.,highest_profit_product,kindly identify the best profit item,11
Please calculate total customer orders.,order_count,please calculate total customer orders,16
Explain worst performing cities.,bottom_cities,explain worst performing cities,3
Please give subcategory sales.,sales_by_subcategory,please give subcategory sales,22
Provide all category sales,sales_by_category,provide all category sales,20
Can you calculate average sales amount?,average_sales,can you calculate average sales amount,1
I need worst region.,worst_region,i need worst region,30
View lowest spending customers.,bottom_customers,view lowest spending customers,4
Can you give the overall revenue?,total_sales,can you give the overall revenue,29
Display all stock overview,inventory_summary,display all stock overview,12
Kindly calculate the net profit.,total_profit,kindly calculate the net profit,28
Provide detailed top selling states.,top_states,provide detailed top selling states,27
Can I see the total customer orders?,order_count,can i see the total customer orders,16
What is the overall revenue?,total_sales,what is the overall revenue,29
Give me the worst products.,bottom_products,give me the worst products,5
Can you reveal the lowest profit product?,lowest_profit_product,can you reveal the lowest profit product,13
Calculate the discount percentage,discount_analysis,calculate the discount percentage,10
Please identify best customers.,top_customers,please identify best customers,26
Identify highest profit product,highest_profit_product,identify highest profit product,11
How much is the average earnings?,average_profit,how much is the average earnings,0
Could you show the yearly sales?,yearly_sales,could you show the yearly sales,32
Please find profit increase.,profit_growth,please find profit increase,17
Generate the top profit product.,highest_profit_product,generate the top profit product,11
Reveal the bottom states.,bottom_states,reveal the bottom states,6
List complete top selling states,top_states,list complete top selling states,27
Can you show the sales growth?,sales_growth,can you show the sales growth,23
Analyze overall overall discount,discount_analysis,analyze overall overall discount,10
Create a report for average turnover.,average_sales,create a report for average turnover,1
Find the least selling products.,bottom_products,find the least selling products,5
Can you show the overall discount?,discount_analysis,can you show the overall discount,10
Give me average business sales.,average_sales,give me average business sales,1
Plot customer count.,customer_count,plot customer count,8
Analyze the region profit performance.,region_profit,analyze the region profit performance,19
Show me the top customers.,top_customers,show me the top customers,26
Show worst profit product,lowest_profit_product,show worst profit product,13
Find worst profit product,lowest_profit_product,find worst profit product,13
Could you provide the monthly business profit?,monthly_profit,could you provide the monthly business profit,14
Display year wise sales,yearly_sales,display year wise sales,32
Give me the overall profit.,total_profit,give me the overall profit,28
Create dashboard for total customers.,customer_count,create dashboard for total customers,8
Could you show the number of customers?,customer_count,could you show the number of customers,8
Kindly provide the delivery performance.,shipping_analysis,kindly provide the delivery performance,24
Give me the discount analysis.,discount_analysis,give me the discount analysis,10
Can you find shipping mode?,shipping_analysis,can you find shipping mode,24
Provide complete highest performing region,best_region,provide complete highest performing region,2
Fetch the bottom 10 customers.,bottom_customers,fetch the bottom 10 customers,4
Show latest highest sales cities.,top_cities,show latest highest sales cities,25
Please provide average income.,average_profit,please provide average income,0
Can you view average gross profit?,average_profit,can you view average gross profit,0
Show overall year wise sales,yearly_sales,show overall year wise sales,32
Analyze complete sales quantity,quantity_analysis,analyze complete sales quantity,18
Analyze profit across regions,region_profit,analyze profit across regions,19
I'd like to know monthly profit.,monthly_profit,id like to know monthly profit,14
Can you reveal the total sales?,total_sales,can you reveal the total sales,29
Show all premium customers,top_customers,show all premium customers,26
Can you reveal mean profit?,average_profit,can you reveal mean profit,0
I would like monthly business profit.,monthly_profit,i would like monthly business profit,14
Provide overall monthly business profit,monthly_profit,provide overall monthly business profit,14
Explain the sales for each category.,sales_by_category,explain the sales for each category,20
Provide complete monthly business sales,monthly_sales,provide complete monthly business sales,15
Can you find the best customers?,top_customers,can you find the best customers,26
Reveal annual earnings.,yearly_profit,reveal annual earnings,31
Summarize the sales by year.,yearly_sales,summarize the sales by year,32
Kindly display the least profitable states.,bottom_states,kindly display the least profitable states,6
Please reveal region wise profit.,region_profit,please reveal region wise profit,19
Display lowest spending customers.,bottom_customers,display lowest spending customers,4
Fetch the premium customers.,top_customers,fetch the premium customers,26
I need monthly business sales.,monthly_sales,i need monthly business sales,15
Can you show company profit?,total_profit,can you show company profit,28
Could you provide the average turnover?,average_sales,could you provide the average turnover,1
Summarize the profit average.,average_profit,summarize the profit average,0
Identify all least popular products,bottom_products,identify all least popular products,5
Provide the region profit performance.,region_profit,provide the region profit performance,19
Provide the most valuable customers,top_customers,provide the most valuable customers,26
How much is the overall earnings?,total_profit,how much is the overall earnings,28
Could you find the subcategory performance?,sales_by_subcategory,could you find the subcategory performance,22
Compare registered customers.,customer_count,compare registered customers,8
Show the overall customers,customer_count,show the overall customers,8
Summarize the least selling products.,bottom_products,summarize the least selling products,5
