question,intent
Please give premium customers.,top_customers
I'd like to know lowest spending customers.,bottom_customers
I would like most profitable region.,best_region
Give me category profit performance.,category_profit
Can you compare delivery performance?,shipping_analysis
Provide all least profitable cities,bottom_cities
Please calculate lowest selling products.,bottom_products
Can you reveal the best cities?,top_cities
Summarize best cities.,top_cities
What is average income?,average_profit
How much is the segment performance?,sales_by_segment
Find overall customers.,customer_count
Kindly show the city performance.,bottom_cities
Display complete least profitable product.,lowest_profit_product
Summarize the grand total sales.,total_sales
Review average sales amount.,average_sales
Can you display the top selling cities?,top_cities
Analyze the annual earnings.,yearly_profit
Please calculate sales by subcategory.,sales_by_subcategory
Give detailed best sales region.,best_region
Reveal all least selling products,bottom_products
Display complete best sales region.,best_region
I'd like the profit by category.,category_profit
Show me profit by region.,region_profit
Can you display top selling states?,top_states
What is highest sales states?,top_states
Please display the top states.,top_states
Provide overall lowest selling products,bottom_products
I want the profit across regions.,region_profit
Compare average earnings.,average_profit
Summarize the lowest sales region.,worst_region
Find the net profit,total_profit
Show insights for average discount.,discount_analysis
Find the profit growth,profit_growth
I need the overall dashboard.,dashboard_summary
Provide overall best region,best_region
Explain the order count.,order_count
Kindly calculate the sales by month.,monthly_sales
Please display segment performance.,sales_by_segment
Give detailed regional profit.,region_profit
Give me the growth in profit.,profit_growth
Kindly compare the sales by category.,sales_by_category
Kindly find the total customer orders.,order_count
Can you find the top 10 customers?,top_customers
Could you provide the product quantities?,quantity_analysis
Show complete business sales.,total_sales
Display the profit by year.,yearly_profit
Summarize the shipping analysis.,shipping_analysis
Could you show the segment wise sales?,sales_by_segment
Kindly show the shipping analysis.,shipping_analysis
Generate a report for business profit.,total_profit
View the category profit performance.,category_profit
Could you calculate the average business sales?,average_sales
Generate a report for product quantities.,quantity_analysis
Kindly give the overall earnings.,total_profit
Present year wise sales.,yearly_sales
I'd like the regional profit.,region_profit
Visualize average business sales.,average_sales
Analyze the region wise profit,region_profit
Please view overall profit.,total_profit
Provide the month wise profit.,monthly_profit
Show me product quantities.,quantity_analysis
Show all worst performing states,bottom_states
Find complete category profit performance,category_profit
Find average business profit.,average_profit
Please display the monthly profit.,monthly_profit
View complete average turnover,average_sales
Display complete lowest performing region.,worst_region
Provide the yearly profit.,yearly_profit
Tell me the lowest profit product.,lowest_profit_product
Can you give the business summary?,dashboard_summary
Could you provide the overall sales?,total_sales
Summarize the top selling cities.,top_cities
Please display monthly profit.,monthly_profit
Provide the highest sales cities,top_cities
Can you display the yearly sales?,yearly_sales
Create a report for year wise profit.,yearly_profit
Show me the bottom states.,bottom_states
Find worst region.,worst_region
Give me business overview.,dashboard_summary
Display latest lowest earning product.,lowest_profit_product
I want executive summary.,dashboard_summary
Tell me the most profitable region.,best_region
Can you analyze profit by region?,region_profit
Review segment sales.,sales_by_segment
I'd like to know sales by month.,monthly_sales
Compare complete category profit,category_profit
Give complete profit across regions.,region_profit
Provide all annual revenue,yearly_sales
Can you compare sales by category?,sales_by_category
Present top 10 customers.,top_customers
Show insights for sales across categories.,sales_by_category
Generate overall earnings.,total_profit
Provide top 10 customers.,top_customers
Kindly display the profit growth.,profit_growth
I want top selling cities.,top_cities
Summarize shipping performance.,shipping_analysis
I'd like to know the executive summary.,dashboard_summary
Show me the business summary.,dashboard_summary
Provide detailed discount analysis.,discount_analysis
Could you provide the inactive customers?,bottom_customers
I would like city performance.,bottom_cities
Generate a report for lowest earning product.,lowest_profit_product
Analyze the monthly earnings.,monthly_profit
Display overall least profitable cities,bottom_cities
Reveal overall dashboard.,dashboard_summary
Show sales quantity,quantity_analysis
Kindly display the bottom states.,bottom_states
Please show ship mode analysis.,shipping_analysis
Please provide yearly sales.,yearly_sales
Can you compute total profit?,total_profit
Can you show the inventory summary?,inventory_summary
Generate the overall revenue.,total_sales
Can you display the sales across categories?,sales_by_category
Please analyze product quantities.,quantity_analysis
I'd like to know worst performing cities.,bottom_cities
I want yearly sales.,yearly_sales
What is sales average?,average_sales
Compare business sales.,total_sales
I need business profit.,total_profit
Compare complete sales across categories,sales_by_category
Provide the sales growth.,sales_growth
Analyze the top selling cities.,top_cities
Can you display the least profitable cities?,bottom_cities
Find registered customers.,customer_count
How much is subcategory wise sales?,sales_by_subcategory
Reveal the discount offered.,discount_analysis
Please calculate top selling states.,top_states
Show complete stock summary,inventory_summary
Please reveal top customers.,top_customers
Can I see lowest performing region?,worst_region
Can you find the overall customers?,customer_count
Give complete category profit performance.,category_profit
Can you provide profit across regions?,region_profit
Show complete highest performing region,best_region
Can you generate stock overview?,inventory_summary
Provide the sales growth,sales_growth
Can you provide shipping analysis?,shipping_analysis
List overall bottom products,bottom_products
Display latest overall dashboard.,dashboard_summary
Explain grand total profit.,total_profit
Explain the bottom states.,bottom_states
Analyze all sales growth,sales_growth
I need the lowest profit product.,lowest_profit_product
Explain the sales average.,average_sales
I want category wise profit.,category_profit
View yearly sales.,yearly_sales
Provide overall best performing states,top_states
Provide overall lowest performing region,worst_region
Plot inventory report.,inventory_summary
Visualize monthly business profit.,monthly_profit
Show the sales by segment,sales_by_segment
Provide the mean profit,average_profit
Kindly calculate the sales trend.,sales_growth
Please compute average sales amount.,average_sales
Generate the quantity analysis.,quantity_analysis
Give me the sales quantity.,quantity_analysis
Can you show net profit?,total_profit
Calculate overall total earnings,total_profit
Kindly show the best cities.,top_cities
Provide detailed sales trend.,sales_growth
Fetch lowest selling products.,bottom_products
Please display the order count.,order_count
Generate a report for profit by month.,monthly_profit
I would like subcategory performance.,sales_by_subcategory
Kindly reveal the lowest sales cities.,bottom_cities
Can you provide the average income?,average_profit
Plot lowest earning product.,lowest_profit_product
Calculate the average income,average_sales
Can you provide the monthly profit?,monthly_profit
Summarize average sales.,average_sales
Can you display the inventory overview?,inventory_summary
Could you compare the profit across regions?,region_profit
I want the subcategory wise sales.,sales_by_subcategory
Analyze the worst performing states.,bottom_states
I want total orders.,order_count
Kindly give the business profit.,total_profit
Display latest lowest profit product.,lowest_profit_product
Reveal complete sales by month,monthly_sales
Can you display total customer orders?,order_count
Give me the monthly revenue.,monthly_sales
Reveal the lowest performing region,worst_region
I want category performance.,sales_by_category
Kindly provide the average gross profit.,average_profit
I need the profit across categories.,category_profit
Present average turnover.,average_sales
I want mean profit.,average_profit
Plot inventory overview.,inventory_summary
I want the average sales amount.,average_sales
How much is sales by segment?,sales_by_segment
Please show lowest earning product.,lowest_profit_product
Please view average gross profit.,average_profit
Analyze the subcategory sales,sales_by_subcategory
Show complete overall revenue,total_sales
Explain highest sales cities.,top_cities
List all lowest selling products,bottom_products
Find the total customers.,customer_count
Explain the category wise sales.,sales_by_category
Could you provide the category profit?,category_profit
Reveal overall least profitable cities,bottom_cities
Please display subcategory wise sales.,sales_by_subcategory
Can you provide lowest profit product?,lowest_profit_product
Reveal the worst performing cities.,bottom_cities
Reveal complete mean profit,average_profit
Reveal highest profit product,highest_profit_product
Provide best profit item,highest_profit_product
Can I see average revenue?,average_sales
Show me monthly sales.,monthly_sales
Provide complete sales quantity,quantity_analysis
Provide the lowest earning product,lowest_profit_product
Display the growth in sales,sales_growth
Please reveal category performance.,sales_by_category
Show all customer count,customer_count
Show monthly sales,monthly_sales
Please reveal lowest profit product.,lowest_profit_product
Review average income.,average_profit
Explain the sales across subcategories.,sales_by_subcategory
Can you provide the yearly profit?,yearly_profit
Find region profit performance,region_profit
Generate bottom 10 products.,bottom_products
Can you give the segment wise sales?,sales_by_segment
Compare sales increase.,sales_growth
Show latest overall earnings.,total_profit
Display all average sales,average_sales
Tell me the number of customers.,customer_count
Kindly find the worst products.,bottom_products
Give complete total sales,total_sales
I'd like the best profit item.,highest_profit_product
Show overall profit by category,category_profit
Please show profit by month.,monthly_profit
Provide complete profit by month,monthly_profit
Visualize least profitable product.,lowest_profit_product
Show all average income,average_sales
Can you display the subcategory wise sales?,sales_by_subcategory
Can you display the top region?,best_region
Please display the top cities.,top_cities
Analyze overall category profit,category_profit
Calculate the monthly revenue,monthly_sales
Display overall profit average,average_profit
Generate a report for worst products.,bottom_products
I need the subcategory performance.,sales_by_subcategory
I would like quantity sold.,quantity_analysis
How much is the sales average?,average_sales
Kindly identify the least valuable customers.,bottom_customers
Kindly compute the average business sales.,average_sales
Fetch the segment performance.,sales_by_segment
Generate a report for best region.,best_region
Compare total orders.,order_count
Explain profit increase.,profit_growth
Explain the average profit.,average_profit
I need growth in profit.,profit_growth
Could you display the product quantities?,quantity_analysis
Display the overall revenue.,total_sales
I would like annual profit.,yearly_profit
Show overall worst sales region,worst_region
Can I see worst performing cities?,bottom_cities
Can you reveal the category wise sales?,sales_by_category
Show complete monthly profit,monthly_profit
Analyze the category profit.,category_profit
Provide lowest spending customers,bottom_customers
Could you list the lowest sales states?,bottom_states
Can you list worst performing states?,bottom_states
Find all best cities,top_cities
Could you give the average business profit?,average_profit
Kindly provide the business summary.,dashboard_summary
Please reveal annual profit.,yearly_profit
Show complete best region,best_region
Can I see category profit?,category_profit
Can you identify top profit product?,highest_profit_product
Can I see quantity sold?,quantity_analysis
Please give mean sales.,average_sales
Give me the least profitable product.,lowest_profit_product
I'd like the business growth.,sales_growth
Find sales growth.,sales_growth
Create a report for annual revenue.,yearly_sales
Generate sales by segment.,sales_by_segment
Compute average sales amount,average_sales
Visualize sales trend.,sales_growth
Please display quantity sold.,quantity_analysis
I need the best customers.,top_customers
Display latest sales growth.,sales_growth
Reveal the top cities.,top_cities
Show me monthly business sales.,monthly_sales
Give the mean sales,average_sales
Could you analyze the segment performance?,sales_by_segment
Can you identify highest profit product?,highest_profit_product
Display category performance,sales_by_category
Please display the worst region.,worst_region
Display complete sales across categories,sales_by_category
Show me the ship mode analysis.,shipping_analysis
Visualize total sales.,total_sales
Kindly find the profit by region.,region_profit
Please give total earnings.,total_profit
Show the yearly profit,yearly_profit
Analyze the sales across categories.,sales_by_category
Provide overall year wise sales,yearly_sales
Give detailed profit average.,average_profit
Create dashboard for lowest spending customers.,bottom_customers
List complete highest sales states,top_states
Can you show stock summary?,inventory_summary
Please provide least profitable cities.,bottom_cities
Find all least profitable cities,bottom_cities
Find the total profit,total_profit
Compare lowest sales states.,bottom_states
Display most profitable region,best_region
Could you calculate the business profit?,total_profit
What is the stock overview?,inventory_summary
Give detailed growth in profit.,profit_growth
Kindly find the least profitable states.,bottom_states
Kindly find the worst performing cities.,bottom_cities
Tell me best cities.,top_cities
Show overall average gross profit,average_profit
Please give business profit.,total_profit
Analyze all year wise profit,yearly_profit
Find overall segment wise sales,sales_by_segment
I want the sales growth.,sales_growth
Find complete top selling cities,top_cities
Find complete best region,best_region
Can I see profit by region?,region_profit
Explain the number of orders.,order_count
Inspect average revenue.,average_sales
Can you identify the least profitable product?,lowest_profit_product
Display the top selling states,top_states
Could you identify the most profitable region?,best_region
Reveal complete profit average,average_profit
Can you reveal year wise sales?,yearly_sales
Kindly calculate the year wise sales.,yearly_sales
Provide overall city performance,bottom_cities
Please reveal profit by month.,monthly_profit
Fetch category sales.,sales_by_category
Please give bottom 10 products.,bottom_products
Analyze the sales by month.,monthly_sales
Provide total earnings,total_profit
Give the total sales,total_sales
Can you analyze the profit increase?,profit_growth
Calculate all grand total profit,total_profit
Can I see the segment performance?,sales_by_segment
Show me the profit trend.,profit_growth
Can you reveal premium customers?,top_customers
Plot overall revenue.,total_sales
Display all least profitable states,bottom_states
Calculate discount percentage,discount_analysis
Provide all average discount,discount_analysis
Compute complete average profit,average_profit
Tell me the top 10 customers.,top_customers
Could you display the segment wise sales?,sales_by_segment
Display complete highest profit product,highest_profit_product
Reveal all least profitable product,lowest_profit_product
Provide stock overview.,inventory_summary
Please calculate annual earnings.,yearly_profit
Kindly reveal the category profit performance.,category_profit
Present customer count.,customer_count
Give me total quantity.,quantity_analysis
Provide detailed category performance.,sales_by_category
Tell me the total revenue,total_sales
Calculate month wise sales,monthly_sales
Summarize the year wise profit.,yearly_profit
Please display the customer segment sales.,sales_by_segment
Can you tell me grand total profit?,total_profit
Display all profit by region,region_profit
Please calculate lowest sales states.,bottom_states
Can I see the highest spending customers?,top_customers
Generate mean profit.,average_profit
Show complete category performance.,sales_by_category
Tell me complete average income,average_sales
Find the subcategory wise sales,sales_by_subcategory
Kindly calculate the average sales.,average_sales
Display latest overall discount.,discount_analysis
Display best profit item.,highest_profit_product
Kindly display the business profit.,total_profit
Analyze the sales average.,average_sales
Analyze the top profit product.,highest_profit_product
Can I see the profit trend?,profit_growth
Create overall business summary,dashboard_summary
Can you provide the registered customers?,customer_count
Show insights for inventory summary.,inventory_summary
Display bottom 10 products.,bottom_products
Show me the dashboard summary.,dashboard_summary
Give complete lowest spending customers.,bottom_customers
Calculate complete discount offered,discount_analysis
Provide overall overall revenue,total_sales
Visualize inventory overview.,inventory_summary
Please display the category wise profit.,category_profit
Show overall least valuable customers,bottom_customers
Please show yearly profit.,yearly_profit
Display complete number of orders.,order_count
Generate discount offered.,discount_analysis
Show me business sales.,total_sales
Could you list the bottom customers?,bottom_customers
I need the bottom states.,bottom_states
Inspect overall discount.,discount_analysis
Can you provide the grand total sales?,total_sales
I'd like to know the annual sales.,yearly_sales
Can you give the category wise sales?,sales_by_category
Reveal category profit performance,category_profit
Display complete top selling states.,top_states
Compute the profit average,average_profit
Tell me grand total sales,total_sales
Kindly identify the highest performing region.,best_region
Analyze the city performance.,bottom_cities
Fetch the lowest selling products.,bottom_products
Find mean sales.,average_sales
Present total customers.,customer_count
Could you show the number of orders?,order_count
I want the highest sales cities.,top_cities
Could you give the inventory summary?,inventory_summary
Find the profit increase,profit_growth
Calculate overall business sales,total_sales
Compare executive summary.,dashboard_summary
Review most profitable product.,highest_profit_product
Please reveal top profit product.,highest_profit_product
Could you reveal the average gross profit?,average_profit
Find overall lowest profit product,lowest_profit_product
Find complete number of orders,order_count
Kindly analyze the month wise profit.,monthly_profit
Can you show overall earnings?,total_profit
Find complete lowest earning product,lowest_profit_product
Compare profit by month.,monthly_profit
Give overall mean profit,average_profit
Reveal complete monthly business sales,monthly_sales
Find complete worst performing cities,bottom_cities
Can you give the net profit?,total_profit
Give complete segment performance,sales_by_segment
Please calculate the average business sales.,average_sales
Find complete lowest performing region,worst_region
What is sales increase?,sales_growth
Visualize bottom states.,bottom_states
Present lowest profit product.,lowest_profit_product
Provide monthly profit,monthly_profit
Tell me overall mean profit,average_profit
Display complete monthly business sales.,monthly_sales
Analyze net profit.,total_profit
I want the top region.,best_region
Reveal the sales growth.,sales_growth
Provide the highest profit product,highest_profit_product
Fetch the annual revenue.,yearly_sales
Can you provide region profit performance?,region_profit
Explain the segment wise sales.,sales_by_segment
Find complete highest performing region,best_region
Give me the sales average.,average_sales
Plot profit trend.,profit_growth
Reveal complete sales by segment,sales_by_segment
Could you display the bottom 10 customers?,bottom_customers
Can you analyze the sales for each category?,sales_by_category
Show complete average gross profit.,average_profit
Give overall best customers,top_customers
Provide overall profit average,average_profit
Tell me overall profit.,total_profit
Show insights for worst sales region.,worst_region
Give overall stock overview,inventory_summary
Could you provide the bottom 10 products?,bottom_products
Could you show the worst performing states?,bottom_states
Review sales quantity.,quantity_analysis
Please provide year wise profit.,yearly_profit
Compare sales by year.,yearly_sales
Provide the lowest sales cities.,bottom_cities
Display latest sales by subcategory.,sales_by_subcategory
Show latest overall revenue.,total_sales
Please calculate category wise profit.,category_profit
How much is the lowest sales region?,worst_region
Reveal the overall profit,total_profit
Show me the inventory report.,inventory_summary
Show latest year wise sales.,yearly_sales
Provide overall best customers,top_customers
Can you show profit by year?,yearly_profit
Can you provide the overall earnings?,total_profit
Please show segment performance.,sales_by_segment
Calculate discount analysis,discount_analysis
Give most valuable customers,top_customers
Can you display bottom products?,bottom_products
Provide overall average gross profit,average_profit
Can you display sales increase?,sales_growth
Can you reveal highest sales states?,top_states
Analyze lowest sales states.,bottom_states
Please provide average sales amount.,average_sales
Show overall lowest profit product,lowest_profit_product
Give overall worst products,bottom_products
Show me overall earnings.,total_profit
Give detailed worst performing states.,bottom_states
Can you compare the ship mode analysis?,shipping_analysis
Can you provide the monthly business profit?,monthly_profit
Reveal the top 10 customers,top_customers
Please display the subcategory wise sales.,sales_by_subcategory
Provide the city performance,top_cities
Show the highest sales states,top_states
Tell me the average income,average_profit
Give complete annual sales.,yearly_sales
Can I see the annual revenue?,yearly_sales
Display the least profitable states.,bottom_states
Show latest profit trend.,profit_growth
Compare all profit across regions,region_profit
Find complete net profit,total_profit
Provide the customer segment sales.,sales_by_segment
I need the grand total sales.,total_sales
Kindly provide the stock overview.,inventory_summary
Can you reveal the annual revenue?,yearly_sales
Provide detailed monthly profit.,monthly_profit
Fetch the monthly earnings.,monthly_profit
Display the top region.,best_region
Calculate complete overall customers,customer_count
Could you provide the overall customers?,customer_count
Summarize mean sales.,average_sales
Create dashboard for average profit.,average_profit
Tell me the least valuable customers.,bottom_customers
Could you give the overall earnings?,total_profit
Could you display the worst profit product?,lowest_profit_product
Reveal bottom 10 customers,bottom_customers
Give all subcategory wise sales,sales_by_subcategory
Explain business overview.,dashboard_summary
Compute all grand total profit,total_profit
Find the highest sales cities,top_cities
Tell me the bottom states.,bottom_states
Show complete monthly earnings,monthly_profit
Show most profitable product,highest_profit_product
Tell me inactive customers.,bottom_customers
Kindly give the lowest selling products.,bottom_products
View business profit,total_profit
Plot highest sales states.,top_states
Give the sales by category,sales_by_category
Kindly provide the net profit.,total_profit
Please calculate the monthly revenue.,monthly_sales
Explain the average sales.,average_sales
Can you identify the bottom products?,bottom_products
Please display best performing states.,top_states
Display all overall sales,total_sales
How much is highest sales cities?,top_cities
Summarize the overall profit.,total_profit
Please reveal business profit.,total_profit
Kindly give the bottom 10 customers.,bottom_customers
Can you compute average sales amount?,average_sales
Compute all profit average,average_profit
Review total profit.,total_profit
Show latest lowest selling products.,bottom_products
Tell me top 10 customers.,top_customers
Provide overall worst products,bottom_products
Can you provide the overall revenue?,total_sales
Kindly find the profit growth.,profit_growth
Display overall category performance,sales_by_category
Show complete total customer orders.,order_count
Explain the lowest profit product.,lowest_profit_product
Compare overall region profit performance,region_profit
Can you show the lowest performing region?,worst_region
Show average discount,discount_analysis
Inspect customer count.,customer_count
Give detailed customer segment sales.,sales_by_segment
Show the lowest sales states,bottom_states
Reveal the best performing states,top_states
Can you calculate monthly profit?,monthly_profit
Analyze the total customers.,customer_count
Reveal complete sales for each category,sales_by_category
Analyze the growth in sales.,sales_growth
Could you provide the grand total sales?,total_sales
Can you find the company profit?,total_profit
Can you analyze category profit?,category_profit
Could you calculate the profit by month?,monthly_profit
Could you display the city performance?,bottom_cities
Can you provide total customers?,customer_count
Please analyze growth in sales.,sales_growth
Give complete profit average,average_profit
Fetch the city performance.,bottom_cities
Find all delivery performance,shipping_analysis
Summarize least profitable product.,lowest_profit_product
I want the best performing states.,top_states
List complete top 10 customers,top_customers
Kindly display the average revenue.,average_sales
Give me the region profit performance.,region_profit
Display the stock summary.,inventory_summary
How much is the average turnover?,average_sales
Show insights for dashboard summary.,dashboard_summary
Can I see the category sales?,sales_by_category
Can you display average turnover?,average_sales
Can you provide the delivery performance?,shipping_analysis
Please create business summary.,dashboard_summary
Give complete dashboard summary,dashboard_summary
List the top states,top_states
Could you list the bottom 10 products?,bottom_products
Show all regional profit,region_profit
Could you give the bottom 10 products?,bottom_products
Can you find the category wise sales?,sales_by_category
Please show segment sales.,sales_by_segment
Provide complete grand total profit,total_profit
Analyze shipping analysis.,shipping_analysis
Reveal all best profit item,highest_profit_product
Calculate total sales,total_sales
Analyze all region profit performance,region_profit
Display best profit item,highest_profit_product
Display the number of orders.,order_count
I'd like the least selling products.,bottom_products
Analyze overall year wise profit,yearly_profit
View the average business profit,average_profit
Could you display the sales increase?,sales_growth
Please give average income.,average_profit
List bottom cities,bottom_cities
Reveal overall lowest sales states,bottom_states
View the sales by year.,yearly_sales
I need profit increase.,profit_growth
Generate best profit item.,highest_profit_product
Reveal highest sales states,top_states
Display the lowest sales region.,worst_region
Explain overall profit.,total_profit
Kindly analyze the annual revenue.,yearly_sales
Kindly identify the top profit product.,highest_profit_product
Compare worst products.,bottom_products
Kindly compare the sales by subcategory.,sales_by_subcategory
Reveal profit average.,average_profit
Create dashboard for registered customers.,customer_count
Please give category sales.,sales_by_category
Show all total quantity,quantity_analysis
Visualize customer count.,customer_count
Visualize sales average.,average_sales
Review best region.,best_region
Show the best region,best_region
Please display category performance.,sales_by_category
Give the least popular products,bottom_products
Generate the overall dashboard,dashboard_summary
Analyze performance of best customers.,top_customers
Tell me overall average earnings,average_profit
Identify all top region,best_region
Show best region,best_region
Compare delivery performance.,shipping_analysis
Kindly give the top customers.,top_customers
Show the category wise profit,category_profit
Explain the monthly business sales.,monthly_sales
Calculate all monthly business sales,monthly_sales
View the bottom 10 products.,bottom_products
Generate a report for city performance.,bottom_cities
Please provide executive summary.,dashboard_summary
Give me the average turnover.,average_sales
Please provide top profit product.,highest_profit_product
Generate the bottom 10 customers.,bottom_customers
Create dashboard for overall sales.,total_sales
I want the top selling cities.,top_cities
Please display the year wise profit.,yearly_profit
Present customer segment sales.,sales_by_segment
Can you show sales by subcategory?,sales_by_subcategory
Find the top cities,top_cities
Could you provide the lowest earning product?,lowest_profit_product
Display all best region,best_region
I'd like the average business profit.,average_profit
Create a report for overall orders.,order_count
Generate a report for profit by region.,region_profit
Could you give the inventory overview?,inventory_summary
Provide the delivery performance,shipping_analysis
Display complete discount percentage,discount_analysis
Can you tell me the average profit?,average_profit
Compare product quantities.,quantity_analysis
Give complete bottom products.,bottom_products
Give detailed highest performing region.,best_region
Display overall dashboard.,dashboard_summary
Can you find the bottom states?,bottom_states
Display latest total orders.,order_count
Find ship mode analysis,shipping_analysis
Display the highest spending customers,top_customers
Could you show the average earnings?,average_profit
Show the least valuable customers,bottom_customers
Provide segment performance,sales_by_segment
Fetch ship mode analysis.,shipping_analysis
Can you find the profit by category?,category_profit
Inspect total customers.,customer_count
Kindly show the average income.,average_profit
Kindly show the sales for each category.,sales_by_category
Can you analyze the regional profit?,region_profit
Visualize most profitable product.,highest_profit_product
Kindly show the profit across regions.,region_profit
Please analyze shipping mode.,shipping_analysis
Give detailed top region.,best_region
Give complete discount offered.,discount_analysis
Reveal city performance,bottom_cities
Find all worst products,bottom_products
Kindly analyze the growth in sales.,sales_growth
Kindly show the lowest sales cities.,bottom_cities
Create dashboard for number of customers.,customer_count
Provide complete bottom 10 products,bottom_products
Explain the profit across categories.,category_profit
Analyze average revenue.,average_sales
Provide complete overall revenue,total_sales
Plot quantity analysis.,quantity_analysis
Show me number of customers.,customer_count
List overall least popular products,bottom_products
Please reveal overall profit.,total_profit
Could you reveal the monthly revenue?,monthly_sales
Can I see sales by segment?,sales_by_segment
Compare average gross profit.,average_profit
Explain average profit.,average_profit
Show all lowest earning product,lowest_profit_product
Find complete regional profit,region_profit
Can you generate overall dashboard?,dashboard_summary
Can you find customer segment sales?,sales_by_segment
I want year wise sales.,yearly_sales
Can you provide grand total sales?,total_sales
Compare highest sales states.,top_states
Provide the premium customers.,top_customers
Provide detailed sales by year.,yearly_sales
Please give least selling products.,bottom_products
Provide the overall orders.,order_count
Give me the stock overview.,inventory_summary
Give detailed month wise sales.,monthly_sales
Please display top selling cities.,top_cities
I want inventory summary.,inventory_summary
Explain the delivery performance.,shipping_analysis
Kindly display the sales by year.,yearly_sales
List city performance,bottom_cities
Could you find the least profitable product?,lowest_profit_product
Give complete total earnings.,total_profit
Give complete overall sales,total_sales
Kindly show the segment wise sales.,sales_by_segment
Provide overall city performance,top_cities
Find grand total profit,total_profit
What is the average sales?,average_sales
Kindly provide the category profit.,category_profit
Kindly display the average income.,average_sales
Can you find category performance?,sales_by_category
Compare number of orders.,order_count
Could you display the lowest selling products?,bottom_products
Show the inventory summary,inventory_summary
Please calculate average business sales.,average_sales
Analyze complete region wise profit,region_profit
I need the inactive customers.,bottom_customers
Analyze all discount offered,discount_analysis
Show me the category wise profit.,category_profit
Please calculate the registered customers.,customer_count
Please calculate bottom products.,bottom_products
Identify worst sales region,worst_region
Fetch profit by year.,yearly_profit
Show complete sales across categories,sales_by_category
Kindly tell me the average net profit.,average_profit
Can you reveal the segment sales?,sales_by_segment
List overall top selling states,top_states
What is annual sales?,yearly_sales
Could you show the profit across regions?,region_profit
Please reveal sales by segment.,sales_by_segment
Display worst products,bottom_products
Calculate overall grand total sales,total_sales
I need the region wise profit.,region_profit
Show overall discount,discount_analysis
Tell me the company profit,total_profit
Give total orders,order_count
Plot overall customers.,customer_count
Can you provide the top region?,best_region
Summarize the category profit.,category_profit
I'd like the lowest spending customers.,bottom_customers
Generate a report for grand total profit.,total_profit
Calculate overall discount percentage,discount_analysis
Reveal sales by year,yearly_sales
Generate the net profit.,total_profit
Can you calculate the number of customers?,customer_count
Give complete regional profit.,region_profit
Show me the top 10 customers.,top_customers
Provide overall annual revenue,yearly_sales
Identify overall highest spending customers,top_customers
Explain average discount.,discount_analysis
Can you provide category performance?,sales_by_category
Could you provide the highest sales cities?,top_cities
Give me the monthly earnings.,monthly_profit
Present the sales by month.,monthly_sales
Please display the sales by category.,sales_by_category
Display latest business sales.,total_sales
View overall average earnings,average_profit
Can you display the top states?,top_states
Visualize monthly profit.,monthly_profit
Could you identify the best profit item?,highest_profit_product
Reveal lowest earning product,lowest_profit_product
Plot category profit.,category_profit
Calculate all number of customers,customer_count
Identify all lowest earning product,lowest_profit_product
Kindly find the discount offered.,discount_analysis
I want regional profit.,region_profit
Show me average gross profit.,average_profit
Can you reveal the worst sales region?,worst_region
Could you reveal the top cities?,top_cities
Please tell me company profit.,total_profit
Present profit by year.,yearly_profit
Display average sales,average_sales
Analyze the category performance,sales_by_category
Could you create the inventory summary?,inventory_summary
Provide all top selling cities,top_cities
Provide overall top region,best_region
I would like inventory summary.,inventory_summary
Find the top states,top_states
Provide detailed sales quantity.,quantity_analysis
Could you reveal the annual sales?,yearly_sales
Please display the profit by region.,region_profit
Show insights for top customers.,top_customers
Can I see inventory summary?,inventory_summary
Visualize sales by category.,sales_by_category
Kindly provide the average net profit.,average_profit
Find the lowest profit product,lowest_profit_product
Please find average net profit.,average_profit
Show insights for highest spending customers.,top_customers
Reveal complete top region,best_region
Reveal overall top selling cities,top_cities
Kindly show the sales by subcategory.,sales_by_subcategory
Give detailed lowest earning product.,lowest_profit_product
Calculate overall sales average,average_sales
Can you show best region?,best_region
Give detailed year wise profit.,yearly_profit
I need the profit trend.,profit_growth
Can I see the category profit performance?,category_profit
Create a report for bottom 10 products.,bottom_products
List all bottom products,bottom_products
Provide all average business sales,average_sales
Could you provide the number of orders?,order_count
Can you display sales by year?,yearly_sales
How much is the inventory overview?,inventory_summary
Show complete sales trend.,sales_growth
Show complete annual revenue,yearly_sales
Can I see the inventory overview?,inventory_summary
Review registered customers.,customer_count
Can you reveal the subcategory performance?,sales_by_subcategory
Please list top states.,top_states
Please display profit growth.,profit_growth
Identify overall top 10 customers,top_customers
Provide subcategory wise sales,sales_by_subcategory
Can you display sales by subcategory?,sales_by_subcategory
Display best cities.,top_cities
Fetch regional profit.,region_profit
Analyze performance of bottom cities.,bottom_cities
Can I see grand total profit?,total_profit
Calculate all product quantities,quantity_analysis
Provide the year wise sales,yearly_sales
Generate the best sales region.,best_region
Find the yearly profit.,yearly_profit
Display overall worst products,bottom_products
Kindly display the profit increase.,profit_growth
Please display the profit increase.,profit_growth
Could you find the category wise profit?,category_profit
Can you view average income?,average_profit
Give overall registered customers,customer_count
Kindly display the overall orders.,order_count
Can you reveal the average sales amount?,average_sales
Summarize inactive customers.,bottom_customers
Please show bottom states.,bottom_states
Reveal number of customers.,customer_count
Calculate the sales growth,sales_growth
Compare bottom states.,bottom_states
Give the top 10 customers,top_customers
Please calculate profit average.,average_profit
Provide overall discount analysis,discount_analysis
