question,intent,clean_question
Summarize top states.,top_states,summarize top states
Provide complete executive summary,dashboard_summary,provide complete executive summary
Show complete monthly business sales.,monthly_sales,show complete monthly business sales
Generate lowest profit product.,lowest_profit_product,generate lowest profit product
Please show year wise profit.,yearly_profit,please show year wise profit
Analyze the overall revenue.,total_sales,analyze the overall revenue
Present sales for each category.,sales_by_category,present sales for each category
Kindly generate the inventory overview.,inventory_summary,kindly generate the inventory overview
Could you calculate the quantity sold?,quantity_analysis,could you calculate the quantity sold
Can you find the premium customers?,top_customers,can you find the premium customers
Display complete segment wise sales,sales_by_segment,display complete segment wise sales
Please calculate the lowest sales cities.,bottom_cities,please calculate the lowest sales cities
Kindly find the quantity analysis.,quantity_analysis,kindly find the quantity analysis
Please display total quantity.,quantity_analysis,please display total quantity
View the business summary.,dashboard_summary,view the business summary
View overall average business sales,average_sales,view overall average business sales
Provide the total sales.,total_sales,provide the total sales
Create the inventory report,inventory_summary,create the inventory report
Analyze all annual profit,yearly_profit,analyze all annual profit
Please give inventory report.,inventory_summary,please give inventory report
Display overall worst region,worst_region,display overall worst region
Analyze complete sales across subcategories,sales_by_subcategory,analyze complete sales across subcategories
Inspect shipping mode.,shipping_analysis,inspect shipping mode
Provide overall average sales,average_sales,provide overall average sales
Show grand total profit,total_profit,show grand total profit
Give complete average revenue.,average_sales,give complete average revenue
Can you list the inactive customers?,bottom_customers,can you list the inactive customers
Find overall revenue,total_sales,find overall revenue
Can you display the highest sales cities?,top_cities,can you display the highest sales cities
Display overall total customers,customer_count,display overall total customers
Reveal complete bottom 10 products,bottom_products,reveal complete bottom 10 products
Summarize monthly business profit.,monthly_profit,summarize monthly business profit
Reveal the total customer orders.,order_count,reveal the total customer orders
Kindly display the average profit.,average_profit,kindly display the average profit
Explain the average business sales.,average_sales,explain the average business sales
Show latest business summary.,dashboard_summary,show latest business summary
Reveal category wise sales.,sales_by_category,reveal category wise sales
I need the monthly sales.,monthly_sales,i need the monthly sales
I'd like to know the monthly earnings.,monthly_profit,id like to know the monthly earnings
What is the top profit product?,highest_profit_product,what is the top profit product
Can I see the best sales region?,best_region,can i see the best sales region
Display top states,top_states,display top states
Can I see the regional profit?,region_profit,can i see the regional profit
Could you reveal the bottom states?,bottom_states,could you reveal the bottom states
Display the top 10 customers.,top_customers,display the top 10 customers
Present the regional profit.,region_profit,present the regional profit
Could you reveal the overall revenue?,total_sales,could you reveal the overall revenue
Plot top selling cities.,top_cities,plot top selling cities
Could you find the top customers?,top_customers,could you find the top customers
Can you reveal the sales by segment?,sales_by_segment,can you reveal the sales by segment
Generate the executive summary.,dashboard_summary,generate the executive summary
View total earnings.,total_profit,view total earnings
Explain subcategory performance.,sales_by_subcategory,explain subcategory performance
Can you tell me average income?,average_sales,can you tell me average income
I'd like to know the average profit.,average_profit,id like to know the average profit
Give complete average sales,average_sales,give complete average sales
Find the total earnings,total_profit,find the total earnings
Visualize business sales.,total_sales,visualize business sales
Show all region wise profit,region_profit,show all region wise profit
Tell me the sales across categories.,sales_by_category,tell me the sales across categories
Display latest business summary.,dashboard_summary,display latest business summary
Analyze the grand total sales.,total_sales,analyze the grand total sales
Reveal complete grand total sales,total_sales,reveal complete grand total sales
View average discount.,discount_analysis,view average discount
Can you tell me the profit average?,average_profit,can you tell me the profit average
Provide detailed overall customers.,customer_count,provide detailed overall customers
Could you tell me the average business sales?,average_sales,could you tell me the average business sales
I want the inactive customers.,bottom_customers,i want the inactive customers
Display the highest sales states.,top_states,display the highest sales states
Please reveal net profit.,total_profit,please reveal net profit
Please give worst products.,bottom_products,please give worst products
Can I see average income?,average_profit,can i see average income
Show complete delivery performance,shipping_analysis,show complete delivery performance
How much is discount offered?,discount_analysis,how much is discount offered
Display all category wise profit,category_profit,display all category wise profit
Create a report for worst performing cities.,bottom_cities,create a report for worst performing cities
Provide detailed sales for each category.,sales_by_category,provide detailed sales for each category
Show all overall customers,customer_count,show all overall customers
Please display total customer orders.,order_count,please display total customer orders
Could you reveal the monthly profit?,monthly_profit,could you reveal the monthly profit
Could you show the sales by category?,sales_by_category,could you show the sales by category
Can you reveal the worst performing states?,bottom_states,can you reveal the worst performing states
Provide all most profitable region,best_region,provide all most profitable region
What is the bottom products?,bottom_products,what is the bottom products
What is number of customers?,customer_count,what is number of customers
How much is most profitable region?,best_region,how much is most profitable region
Provide the top selling states,top_states,provide the top selling states
Give complete overall earnings,total_profit,give complete overall earnings
I need the month wise profit.,monthly_profit,i need the month wise profit
Display bottom customers.,bottom_customers,display bottom customers
Please tell me total profit.,total_profit,please tell me total profit
I want the product quantities.,quantity_analysis,i want the product quantities
Show complete shipping analysis,shipping_analysis,show complete shipping analysis
Show latest worst products.,bottom_products,show latest worst products
View stock overview.,inventory_summary,view stock overview
Provide the total profit.,total_profit,provide the total profit
Tell me the monthly revenue.,monthly_sales,tell me the monthly revenue
Give detailed overall revenue.,total_sales,give detailed overall revenue
Please calculate the year wise profit.,yearly_profit,please calculate the year wise profit
Calculate business profit,total_profit,calculate business profit
Tell me worst sales region.,worst_region,tell me worst sales region
Show complete growth in profit.,profit_growth,show complete growth in profit
How much is worst performing states?,bottom_states,how much is worst performing states
View category performance.,sales_by_category,view category performance
I need highest profit product.,highest_profit_product,i need highest profit product
Please display top cities.,top_cities,please display top cities
I want total quantity.,quantity_analysis,i want total quantity
Explain top selling cities.,top_cities,explain top selling cities
Show the average income,average_sales,show the average income
Reveal the best performing states.,top_states,reveal the best performing states
Please provide sales across categories.,sales_by_category,please provide sales across categories
Find lowest sales cities.,bottom_cities,find lowest sales cities
Compute complete average turnover,average_sales,compute complete average turnover
Create the stock overview,inventory_summary,create the stock overview
Kindly give the business summary.,dashboard_summary,kindly give the business summary
Show all least selling products,bottom_products,show all least selling products
Reveal overall yearly profit,yearly_profit,reveal overall yearly profit
List the worst performing cities,bottom_cities,list the worst performing cities
Can you calculate sales growth?,sales_growth,can you calculate sales growth
Show complete inactive customers,bottom_customers,show complete inactive customers
Plot overall sales.,total_sales,plot overall sales
Could you give the worst products?,bottom_products,could you give the worst products
Reveal the monthly sales,monthly_sales,reveal the monthly sales
Provide detailed annual sales.,yearly_sales,provide detailed annual sales
Analyze delivery performance,shipping_analysis,analyze delivery performance
Find the grand total sales.,total_sales,find the grand total sales
Kindly show the average earnings.,average_profit,kindly show the average earnings
Show all lowest sales cities,bottom_cities,show all lowest sales cities
Please identify least profitable product.,lowest_profit_product,please identify least profitable product
Can you display total profit?,total_profit,can you display total profit
Show all top customers,top_customers,show all top customers
Provide complete least profitable states,bottom_states,provide complete least profitable states
Can I see the most profitable region?,best_region,can i see the most profitable region
Show overall shipping analysis,shipping_analysis,show overall shipping analysis
Provide complete top region,best_region,provide complete top region
Can you provide the subcategory wise sales?,sales_by_subcategory,can you provide the subcategory wise sales
Can you show least profitable product?,lowest_profit_product,can you show least profitable product
Reveal growth in sales.,sales_growth,reveal growth in sales
Provide category wise sales,sales_by_category,provide category wise sales
Please calculate city performance.,bottom_cities,please calculate city performance
Please find sales average.,average_sales,please find sales average
Review worst region.,worst_region,review worst region
Reveal the lowest sales states,bottom_states,reveal the lowest sales states
Please compare segment performance.,sales_by_segment,please compare segment performance
Generate sales by category.,sales_by_category,generate sales by category
Please calculate the worst region.,worst_region,please calculate the worst region
Give complete inventory summary,inventory_summary,give complete inventory summary
Can you find the lowest sales cities?,bottom_cities,can you find the lowest sales cities
Compare subcategory sales,sales_by_subcategory,compare subcategory sales
Tell me top selling cities.,top_cities,tell me top selling cities
I need lowest sales region.,worst_region,i need lowest sales region
Tell me worst region.,worst_region,tell me worst region
Show the top states,top_states,show the top states
Could you show the lowest performing region?,worst_region,could you show the lowest performing region
Present the yearly sales.,yearly_sales,present the yearly sales
Can you analyze the monthly business sales?,monthly_sales,can you analyze the monthly business sales
Give me city performance.,bottom_cities,give me city performance
Please list lowest selling products.,bottom_products,please list lowest selling products
Tell me delivery performance.,shipping_analysis,tell me delivery performance
I want the monthly earnings.,monthly_profit,i want the monthly earnings
Please display the average business sales.,average_sales,please display the average business sales
Tell me the total revenue.,total_sales,tell me the total revenue
Analyze overall segment performance,sales_by_segment,analyze overall segment performance
Display lowest profit product,lowest_profit_product,display lowest profit product
Display the overall profit,total_profit,display the overall profit
How much is the inactive customers?,bottom_customers,how much is the inactive customers
Inspect month wise sales.,monthly_sales,inspect month wise sales
Give complete shipping performance.,shipping_analysis,give complete shipping performance
Kindly compute the average turnover.,average_sales,kindly compute the average turnover
Can you reveal the profit by month?,monthly_profit,can you reveal the profit by month
I would like subcategory wise sales.,sales_by_subcategory,i would like subcategory wise sales
Analyze all category profit performance,category_profit,analyze all category profit performance
Present the sales by category.,sales_by_category,present the sales by category
Can you tell me profit average?,average_profit,can you tell me profit average
Show latest top region.,best_region,show latest top region
Could you calculate the overall revenue?,total_sales,could you calculate the overall revenue
Visualize shipping performance.,shipping_analysis,visualize shipping performance
How much is category wise sales?,sales_by_category,how much is category wise sales
Can you analyze ship mode analysis?,shipping_analysis,can you analyze ship mode analysis
Please display the average income.,average_sales,please display the average income
I'd like the sales by month.,monthly_sales,id like the sales by month
List complete least valuable customers,bottom_customers,list complete least valuable customers
Tell me all mean profit,average_profit,tell me all mean profit
Reveal worst region.,worst_region,reveal worst region
Please display annual profit.,yearly_profit,please display annual profit
Generate premium customers.,top_customers,generate premium customers
Analyze the quantity sold.,quantity_analysis,analyze the quantity sold
Provide the profit growth.,profit_growth,provide the profit growth
Please compute average income.,average_sales,please compute average income
Give the average business profit,average_profit,give the average business profit
Find sales trend,sales_growth,find sales trend
Kindly display the dashboard summary.,dashboard_summary,kindly display the dashboard summary
Find customer count,customer_count,find customer count
Find category profit.,category_profit,find category profit
View the business profit.,total_profit,view the business profit
Could you provide the average income?,average_sales,could you provide the average income
Calculate average discount,discount_analysis,calculate average discount
Could you tell me the total sales?,total_sales,could you tell me the total sales
Display subcategory sales.,sales_by_subcategory,display subcategory sales
Can you identify the inactive customers?,bottom_customers,can you identify the inactive customers
Explain profit across categories.,category_profit,explain profit across categories
Could you reveal the most profitable region?,best_region,could you reveal the most profitable region
Calculate year wise sales,yearly_sales,calculate year wise sales
Provide all highest spending customers,top_customers,provide all highest spending customers
Reveal all bottom cities,bottom_cities,reveal all bottom cities
Please analyze month wise sales.,monthly_sales,please analyze month wise sales
Calculate the overall discount,discount_analysis,calculate the overall discount
Reveal all premium customers,top_customers,reveal all premium customers
Create dashboard for monthly business profit.,monthly_profit,create dashboard for monthly business profit
Calculate month wise profit,monthly_profit,calculate month wise profit
Can you provide average discount?,discount_analysis,can you provide average discount
I need the sales by subcategory.,sales_by_subcategory,i need the sales by subcategory
Give complete monthly business sales.,monthly_sales,give complete monthly business sales
Tell me all business sales,total_sales,tell me all business sales
Kindly generate the business overview.,dashboard_summary,kindly generate the business overview
Reveal the sales by segment,sales_by_segment,reveal the sales by segment
Can I see lowest sales cities?,bottom_cities,can i see lowest sales cities
Give overall overall revenue,total_sales,give overall overall revenue
Review sales trend.,sales_growth,review sales trend
Can I see stock summary?,inventory_summary,can i see stock summary
Show all sales by segment,sales_by_segment,show all sales by segment
Fetch the lowest sales cities.,bottom_cities,fetch the lowest sales cities
Display category profit,category_profit,display category profit
Could you provide the quantity sold?,quantity_analysis,could you provide the quantity sold
Tell me average sales.,average_sales,tell me average sales
Can you compute the net profit?,total_profit,can you compute the net profit
I need the company profit.,total_profit,i need the company profit
Provide the profit trend,profit_growth,provide the profit trend
Show sales by year,yearly_sales,show sales by year
Create a report for bottom products.,bottom_products,create a report for bottom products
Kindly reveal the total earnings.,total_profit,kindly reveal the total earnings
Reveal the most profitable product.,highest_profit_product,reveal the most profitable product
View business summary.,dashboard_summary,view business summary
Reveal premium customers,top_customers,reveal premium customers
I want best sales region.,best_region,i want best sales region
Give all least popular products,bottom_products,give all least popular products
Fetch worst sales region.,worst_region,fetch worst sales region
Provide overall sales,total_sales,provide overall sales
Kindly list the least popular products.,bottom_products,kindly list the least popular products
Review sales by category.,sales_by_category,review sales by category
Provide sales average.,average_sales,provide sales average
Kindly provide the annual earnings.,yearly_profit,kindly provide the annual earnings
Reveal the lowest profit product.,lowest_profit_product,reveal the lowest profit product
Can you find the mean sales?,average_sales,can you find the mean sales
Show the growth in profit,profit_growth,show the growth in profit
Provide the lowest profit product,lowest_profit_product,provide the lowest profit product
Could you find the lowest selling products?,bottom_products,could you find the lowest selling products
Show me the year wise profit.,yearly_profit,show me the year wise profit
Give complete best cities.,top_cities,give complete best cities
Display overall overall customers,customer_count,display overall overall customers
Create dashboard summary,dashboard_summary,create dashboard summary
Generate a report for top selling cities.,top_cities,generate a report for top selling cities
Plot overall earnings.,total_profit,plot overall earnings
Generate the total revenue.,total_sales,generate the total revenue
Display complete number of orders,order_count,display complete number of orders
Display overall annual revenue,yearly_sales,display overall annual revenue
What is the worst performing states?,bottom_states,what is the worst performing states
Show average profit,average_profit,show average profit
Kindly display the grand total profit.,total_profit,kindly display the grand total profit
Please show earnings growth.,profit_growth,please show earnings growth
Provide detailed most valuable customers.,top_customers,provide detailed most valuable customers
Provide overall worst sales region,worst_region,provide overall worst sales region
Calculate complete year wise sales,yearly_sales,calculate complete year wise sales
Can you reveal the average profit?,average_profit,can you reveal the average profit
Find the region wise profit.,region_profit,find the region wise profit
Show all average profit,average_profit,show all average profit
Please give overall revenue.,total_sales,please give overall revenue
I would like sales by segment.,sales_by_segment,i would like sales by segment
Explain lowest sales cities.,bottom_cities,explain lowest sales cities
Compare all sales by category,sales_by_category,compare all sales by category
Reveal all most profitable product,highest_profit_product,reveal all most profitable product
Could you reveal the business sales?,total_sales,could you reveal the business sales
What is the ship mode analysis?,shipping_analysis,what is the ship mode analysis
Can I see most valuable customers?,top_customers,can i see most valuable customers
Please display the least selling products.,bottom_products,please display the least selling products
Provide discount analysis,discount_analysis,provide discount analysis
Could you analyze the sales across categories?,sales_by_category,could you analyze the sales across categories
Provide complete sales across categories,sales_by_category,provide complete sales across categories
Provide the bottom states,bottom_states,provide the bottom states
Analyze the growth in profit,profit_growth,analyze the growth in profit
Display overall profit by year,yearly_profit,display overall profit by year
I would like inventory overview.,inventory_summary,i would like inventory overview
Display overall lowest sales region,worst_region,display overall lowest sales region
Tell me the overall customers.,customer_count,tell me the overall customers
Analyze annual profit.,yearly_profit,analyze annual profit
Give overall segment wise sales,sales_by_segment,give overall segment wise sales
Can you give worst products?,bottom_products,can you give worst products
Please tell me average income.,average_profit,please tell me average income
Can you find worst sales region?,worst_region,can you find worst sales region
Show me the bottom customers.,bottom_customers,show me the bottom customers
Kindly provide the highest profit product.,highest_profit_product,kindly provide the highest profit product
Show insights for delivery performance.,shipping_analysis,show insights for delivery performance
Can you generate the inventory overview?,inventory_summary,can you generate the inventory overview
Provide lowest profit product,lowest_profit_product,provide lowest profit product
I'd like to know lowest profit product.,lowest_profit_product,id like to know lowest profit product
Can you display business summary?,dashboard_summary,can you display business summary
Display the subcategory performance.,sales_by_subcategory,display the subcategory performance
Provide all best region,best_region,provide all best region
Display the least valuable customers.,bottom_customers,display the least valuable customers
Please display the bottom 10 customers.,bottom_customers,please display the bottom 10 customers
Reveal profit across categories.,category_profit,reveal profit across categories
Can you calculate the average gross profit?,average_profit,can you calculate the average gross profit
Please provide quantity analysis.,quantity_analysis,please provide quantity analysis
I want the best profit item.,highest_profit_product,i want the best profit item
Inspect profit by region.,region_profit,inspect profit by region
Reveal complete total profit,total_profit,reveal complete total profit
Show complete subcategory wise sales,sales_by_subcategory,show complete subcategory wise sales
Please display growth in sales.,sales_growth,please display growth in sales
Analyze sales by category,sales_by_category,analyze sales by category
Reveal monthly revenue.,monthly_sales,reveal monthly revenue
Provide overall bottom states,bottom_states,provide overall bottom states
Display complete customer segment sales.,sales_by_segment,display complete customer segment sales
Can you display category profit?,category_profit,can you display category profit
I want most profitable region.,best_region,i want most profitable region
Kindly analyze the monthly earnings.,monthly_profit,kindly analyze the monthly earnings
Display all highest spending customers,top_customers,display all highest spending customers
Analyze performance of profit by category.,category_profit,analyze performance of profit by category
Give overall average earnings,average_profit,give overall average earnings
Display overall sales increase,sales_growth,display overall sales increase
Kindly display the executive summary.,dashboard_summary,kindly display the executive summary
I would like average earnings.,average_profit,i would like average earnings
Display all inventory summary,inventory_summary,display all inventory summary
Can you tell me the average net profit?,average_profit,can you tell me the average net profit
Display total sales.,total_sales,display total sales
Display all net profit,total_profit,display all net profit
Display complete top cities,top_cities,display complete top cities
Review dashboard summary.,dashboard_summary,review dashboard summary
Display monthly revenue.,monthly_sales,display monthly revenue
Generate complete business summary,dashboard_summary,generate complete business summary
Give all average income,average_sales,give all average income
Display the least popular products,bottom_products,display the least popular products
Display the regional profit,region_profit,display the regional profit
Can you list highest sales states?,top_states,can you list highest sales states
Please display sales across subcategories.,sales_by_subcategory,please display sales across subcategories
Please calculate the top region.,best_region,please calculate the top region
Kindly show the profit across categories.,category_profit,kindly show the profit across categories
Show overall top region,best_region,show overall top region
I want bottom 10 products.,bottom_products,i want bottom 10 products
Provide overall top states,top_states,provide overall top states
Can you find lowest profit product?,lowest_profit_product,can you find lowest profit product
Show complete least profitable states.,bottom_states,show complete least profitable states
I need the most profitable product.,highest_profit_product,i need the most profitable product
Can you give category wise sales?,sales_by_category,can you give category wise sales
Kindly display the ship mode analysis.,shipping_analysis,kindly display the ship mode analysis
Display complete category sales,sales_by_category,display complete category sales
View total sales.,total_sales,view total sales
Can you show product quantities?,quantity_analysis,can you show product quantities
Can you reveal top selling states?,top_states,can you reveal top selling states
I need the year wise sales.,yearly_sales,i need the year wise sales
Display profit by category.,category_profit,display profit by category
Generate a report for least profitable states.,bottom_states,generate a report for least profitable states
Can you calculate the net profit?,total_profit,can you calculate the net profit
Can you give the business profit?,total_profit,can you give the business profit
Please display the total profit.,total_profit,please display the total profit
I'd like to know business sales.,total_sales,id like to know business sales
Please calculate shipping analysis.,shipping_analysis,please calculate shipping analysis
Present the business profit.,total_profit,present the business profit
Show latest subcategory wise sales.,sales_by_subcategory,show latest subcategory wise sales
Analyze all customer segment sales,sales_by_segment,analyze all customer segment sales
Create a report for monthly sales.,monthly_sales,create a report for monthly sales
Visualize segment sales.,sales_by_segment,visualize segment sales
Find the shipping mode.,shipping_analysis,find the shipping mode
Show overall top customers,top_customers,show overall top customers
Give complete worst products,bottom_products,give complete worst products
Generate a report for sales average.,average_sales,generate a report for sales average
Find bottom 10 products,bottom_products,find bottom 10 products
Give overall grand total profit,total_profit,give overall grand total profit
Compare overall orders.,order_count,compare overall orders
Calculate all discount analysis,discount_analysis,calculate all discount analysis
Can you provide total customer orders?,order_count,can you provide total customer orders
Show latest least valuable customers.,bottom_customers,show latest least valuable customers
Review business sales.,total_sales,review business sales
Can you display the total earnings?,total_profit,can you display the total earnings
What is bottom states?,bottom_states,what is bottom states
Tell me the bottom products.,bottom_products,tell me the bottom products
Give me the average revenue.,average_sales,give me the average revenue
Tell me average sales amount.,average_sales,tell me average sales amount
Display latest average net profit.,average_profit,display latest average net profit
Can you view the business profit?,total_profit,can you view the business profit
Analyze the discount analysis.,discount_analysis,analyze the discount analysis
Kindly give the profit average.,average_profit,kindly give the profit average
What is overall profit?,total_profit,what is overall profit
Display complete profit by region.,region_profit,display complete profit by region
Summarize yearly sales.,yearly_sales,summarize yearly sales
Display complete profit by category.,category_profit,display complete profit by category
Could you calculate the average business profit?,average_profit,could you calculate the average business profit
Display overall business overview,dashboard_summary,display overall business overview
Kindly display the mean profit.,average_profit,kindly display the mean profit
I'd like to know the average net profit.,average_profit,id like to know the average net profit
Kindly show the average net profit.,average_profit,kindly show the average net profit
Provide complete overall customers,customer_count,provide complete overall customers
Can you find the best sales region?,best_region,can you find the best sales region
Show all grand total sales,total_sales,show all grand total sales
View average net profit,average_profit,view average net profit
Show insights for sales across subcategories.,sales_by_subcategory,show insights for sales across subcategories
Can you give segment sales?,sales_by_segment,can you give segment sales
Give me bottom 10 customers.,bottom_customers,give me bottom 10 customers
Please display most profitable product.,highest_profit_product,please display most profitable product
Explain sales by subcategory.,sales_by_subcategory,explain sales by subcategory
Compare complete segment wise sales,sales_by_segment,compare complete segment wise sales
Show me best region.,best_region,show me best region
Can you reveal the bottom cities?,bottom_cities,can you reveal the bottom cities
Find the best sales region,best_region,find the best sales region
What is the least popular products?,bottom_products,what is the least popular products
Visualize inventory report.,inventory_summary,visualize inventory report
Please analyze overall discount.,discount_analysis,please analyze overall discount
Kindly list the bottom states.,bottom_states,kindly list the bottom states
Please show average income.,average_profit,please show average income
Can I see worst products?,bottom_products,can i see worst products
Present the segment sales.,sales_by_segment,present the segment sales
Can you identify least profitable product?,lowest_profit_product,can you identify least profitable product
I need grand total profit.,total_profit,i need grand total profit
Display latest total sales.,total_sales,display latest total sales
Present average profit.,average_profit,present average profit
Display the bottom customers.,bottom_customers,display the bottom customers
How much is the delivery performance?,shipping_analysis,how much is the delivery performance
Kindly find the worst performing states.,bottom_states,kindly find the worst performing states
Summarize segment sales.,sales_by_segment,summarize segment sales
I want the overall discount.,discount_analysis,i want the overall discount
Kindly reveal the best cities.,top_cities,kindly reveal the best cities
I need annual revenue.,yearly_sales,i need annual revenue
What is the category performance?,sales_by_category,what is the category performance
Find sales across subcategories,sales_by_subcategory,find sales across subcategories
List the bottom products,bottom_products,list the bottom products
Please display the number of orders.,order_count,please display the number of orders
Please display the monthly business profit.,monthly_profit,please display the monthly business profit
Display the profit by month.,monthly_profit,display the profit by month
Give me least profitable region.,worst_region,give me least profitable region
Provide complete stock summary,inventory_summary,provide complete stock summary
Fetch most profitable product.,highest_profit_product,fetch most profitable product
Can I see the least profitable cities?,bottom_cities,can i see the least profitable cities
Tell me least selling products.,bottom_products,tell me least selling products
Analyze the least valuable customers.,bottom_customers,analyze the least valuable customers
Reveal overall category sales,sales_by_category,reveal overall category sales
Present sales by segment.,sales_by_segment,present sales by segment
Explain annual revenue.,yearly_sales,explain annual revenue
Find complete segment wise sales,sales_by_segment,find complete segment wise sales
Kindly give the total revenue.,total_sales,kindly give the total revenue
Please show product quantities.,quantity_analysis,please show product quantities
Fetch average sales amount.,average_sales,fetch average sales amount
Can you provide highest spending customers?,top_customers,can you provide highest spending customers
Display the least profitable cities,bottom_cities,display the least profitable cities
Tell me the grand total sales,total_sales,tell me the grand total sales
Can you give the business overview?,dashboard_summary,can you give the business overview
Can you show the overall earnings?,total_profit,can you show the overall earnings
Create dashboard for executive summary.,dashboard_summary,create dashboard for executive summary
Can you calculate the growth in sales?,sales_growth,can you calculate the growth in sales
Please calculate total earnings.,total_profit,please calculate total earnings
How much is the total profit?,total_profit,how much is the total profit
Can you list least popular products?,bottom_products,can you list least popular products
Analyze the month wise profit.,monthly_profit,analyze the month wise profit
Tell me all total sales,total_sales,tell me all total sales
Compute the average net profit,average_profit,compute the average net profit
Analyze annual earnings,yearly_profit,analyze annual earnings
Tell me profit across categories.,category_profit,tell me profit across categories
Tell me average turnover.,average_sales,tell me average turnover
Reveal the top cities,top_cities,reveal the top cities
Can you give average sales amount?,average_sales,can you give average sales amount
Provide total revenue,total_sales,provide total revenue
Visualize yearly sales.,yearly_sales,visualize yearly sales
Summarize the monthly profit.,monthly_profit,summarize the monthly profit
Display highest spending customers.,top_customers,display highest spending customers
I'd like the stock summary.,inventory_summary,id like the stock summary
Can you reveal the profit by year?,yearly_profit,can you reveal the profit by year
Display latest shipping performance.,shipping_analysis,display latest shipping performance
Provide overall number of orders,order_count,provide overall number of orders
Could you calculate the monthly revenue?,monthly_sales,could you calculate the monthly revenue
View grand total profit,total_profit,view grand total profit
Reveal the top profit product,highest_profit_product,reveal the top profit product
Summarize the month wise sales.,monthly_sales,summarize the month wise sales
Reveal overall average earnings,average_profit,reveal overall average earnings
Summarize the average earnings.,average_profit,summarize the average earnings
Find mean sales,average_sales,find mean sales
Provide quantity sold,quantity_analysis,provide quantity sold
Display the inventory report.,inventory_summary,display the inventory report
Display the profit increase.,profit_growth,display the profit increase
Please calculate business growth.,sales_growth,please calculate business growth
Reveal sales by category.,sales_by_category,reveal sales by category
Explain profit growth.,profit_growth,explain profit growth
View the best region.,best_region,view the best region
Could you provide the total revenue?,total_sales,could you provide the total revenue
Reveal overall best customers,top_customers,reveal overall best customers
Reveal category wise sales,sales_by_category,reveal category wise sales
Reveal all top profit product,highest_profit_product,reveal all top profit product
How much is lowest sales states?,bottom_states,how much is lowest sales states
Please display sales average.,average_sales,please display sales average
List complete highest spending customers,top_customers,list complete highest spending customers
Show the total sales,total_sales,show the total sales
Show latest profit growth.,profit_growth,show latest profit growth
Analyze performance of least profitable states.,bottom_states,analyze performance of least profitable states
Analyze the profit across regions,region_profit,analyze the profit across regions
Create dashboard for bottom products.,bottom_products,create dashboard for bottom products
View the lowest selling products.,bottom_products,view the lowest selling products
Can I see highest spending customers?,top_customers,can i see highest spending customers
Tell me company profit,total_profit,tell me company profit
Reveal top selling states,top_states,reveal top selling states
I want overall revenue.,total_sales,i want overall revenue
Can you give the segment performance?,sales_by_segment,can you give the segment performance
Show latest overall customers.,customer_count,show latest overall customers
Explain the worst region.,worst_region,explain the worst region
How much is the least popular products?,bottom_products,how much is the least popular products
Display best cities,top_cities,display best cities
Display latest least profitable states.,bottom_states,display latest least profitable states
Please calculate the average net profit.,average_profit,please calculate the average net profit
How much is city performance?,top_cities,how much is city performance
Analyze performance of business profit.,total_profit,analyze performance of business profit
Can you provide subcategory sales?,sales_by_subcategory,can you provide subcategory sales
Generate all inventory summary,inventory_summary,generate all inventory summary
Could you find the average business profit?,average_profit,could you find the average business profit
View the monthly business sales.,monthly_sales,view the monthly business sales
Could you display the overall revenue?,total_sales,could you display the overall revenue
Display latest least valuable customers.,bottom_customers,display latest least valuable customers
Generate the dashboard summary,dashboard_summary,generate the dashboard summary
Generate a report for growth in profit.,profit_growth,generate a report for growth in profit
Reveal sales by month,monthly_sales,reveal sales by month
Generate top states.,top_states,generate top states
Give detailed mean sales.,average_sales,give detailed mean sales
Could you display the discount offered?,discount_analysis,could you display the discount offered
Provide complete worst products,bottom_products,provide complete worst products
Analyze overall profit across categories,category_profit,analyze overall profit across categories
Give company profit,total_profit,give company profit
Can you reveal the sales across subcategories?,sales_by_subcategory,can you reveal the sales across subcategories
Analyze the worst products.,bottom_products,analyze the worst products
Compare the shipping mode,shipping_analysis,compare the shipping mode
Kindly display the average income.,average_profit,kindly display the average income
Show latest best sales region.,best_region,show latest best sales region
View net profit.,total_profit,view net profit
Provide all lowest sales cities,bottom_cities,provide all lowest sales cities
Display complete sales average,average_sales,display complete sales average
Can you show top states?,top_states,can you show top states
Analyze ship mode analysis.,shipping_analysis,analyze ship mode analysis
Can you calculate business profit?,total_profit,can you calculate business profit
Find overall overall orders,order_count,find overall overall orders
Find the best performing states.,top_states,find the best performing states
Please calculate the city performance.,bottom_cities,please calculate the city performance
Find all sales trend,sales_growth,find all sales trend
Can you calculate average income?,average_profit,can you calculate average income
Analyze performance of region profit performance.,region_profit,analyze performance of region profit performance
Tell me lowest performing region.,worst_region,tell me lowest performing region
Display overall executive summary,dashboard_summary,display overall executive summary
Please find sales increase.,sales_growth,please find sales increase
Tell me overall average net profit,average_profit,tell me overall average net profit
Can you show shipping analysis?,shipping_analysis,can you show shipping analysis
Show latest executive summary.,dashboard_summary,show latest executive summary
Reveal all monthly earnings,monthly_profit,reveal all monthly earnings
Kindly provide the worst sales region.,worst_region,kindly provide the worst sales region
Provide overall net profit,total_profit,provide overall net profit
Provide the shipping analysis,shipping_analysis,provide the shipping analysis
Reveal region wise profit.,region_profit,reveal region wise profit
How much is profit average?,average_profit,how much is profit average
Find complete profit trend,profit_growth,find complete profit trend
Visualize worst performing cities.,bottom_cities,visualize worst performing cities
Please calculate discount offered.,discount_analysis,please calculate discount offered
